,ev_city,ev_country,ev_state,latitude,longitude
7126,San Rafael,SP,,-23.2775766,-46.7230505
7134,HIGH ISLAND BLK,,GM,,
7141,WALKER'S CAY   ,BF,,,
7149,BOISE          ,USA,ID,43.6187102,-116.2146068
7151,CHIHUAHUA      ,MX,,28.6329957,-106.0691004
7162,COLD BAY       ,USA,AK,55.204498,-162.7183867
7163,LONGWOOD       ,USA,FL,28.7030519,-81.3384011
7183,NINILCHIK      ,USA,AK,60.05138890000001,-151.6688889
7217,FLUSHING       ,USA,NY,40.7674987,-73.833079
7225,Malaga,CO,,36.721261,-4.4212655
7233,MIAMI          ,USA,FL,25.7616798,-80.1917902
7248,QUINCY         ,USA,IL,39.9356016,-91.4098726
7269,SPOKANE        ,USA,WA,47.6587802,-117.4260466
7286,fredericton,CA,,45.9635895,-66.6431151
7294,SEDONA         ,USA,AZ,34.8697395,-111.7609896
7295,HILLIARD       ,USA,FL,30.691068,-81.91733339999999
7335,"Alcorsia, Teruel, Spain",SP,,,
7340,Harare,ZI,,-17.8906362,30.9920867
7357,BETTLES        ,USA,AK,66.9188889,-151.5161111
7378,GIBSON         ,USA,LA,29.68687559999999,-90.990653
7403,ILIAMNA        ,USA,AK,59.7547222,-154.9061111
7421,Ciudad Carmen,MX,,18.6504879,-91.80745859999999
7450,ATMAUTLUAK     ,USA,AK,60.8669444,-162.2730556
7455,FREEPORT,BF,,,
7456,Indore ,IN,,22.7195687,75.8577258
7472,COLUMBUS       ,USA,OH,39.9611755,-82.99879419999999
7497,BETHEL         ,USA,AK,60.7922222,-161.7558333
7522,Gulf of Mexico,USA,,30.0367543,-84.336621
7534,HAYDEN         ,USA,CO,40.4894302,-107.2636842
7559,MISSING ACFT,,AO,,
7568,Phoenix,USA,AZ,33.4483771,-112.0740373
7592,Luxembourg,LU,,49.61162100000001,6.1319346
7599,San Juan,USA,PR,36.0110958,-106.0849392
7600,NAKNEK         ,USA,AK,58.72833329999999,-157.0138889
7680,Inverness,UK,,57.477773,-4.224721
7713,LITTLEFORK     ,USA,MN,48.3988322,-93.5557156
7727,CAMERON        ,USA,LA,29.79772119999999,-93.3251535
7733,SARASOTA       ,USA,FL,27.3364347,-82.53065269999999
7738,AUSTIN         ,USA,TX,30.267153,-97.7430608
7743,BROOMFIELD     ,USA,CO,39.9205411,-105.0866504
7745,MIAMI          ,USA,FL,25.7616798,-80.1917902
7800,NORTH PLATTE   ,USA,NE,41.1402759,-100.7601454
7820,Machala,EC,,-3.2581112,-79.9553924
7822,KAHILTNA GLACIE,USA,AK,62.765833,-151.303333
7833,VENICE         ,USA,LA,33.9850469,-118.4694832
7839,MIAMI          ,USA,FL,25.7616798,-80.1917902
7840,HAINES         ,USA,AK,59.2358333,-135.445
7920,SLEETMUTE      ,USA,AK,61.7025,-157.1697222
7924,Milan,IT,,45.4654219,9.1859243
7935,PORTLAND       ,USA,ME,43.66147100000001,-70.2553259
7965,VERNAL         ,USA,UT,40.4555157,-109.5287479
7977,CHICAGO        ,USA,IL,41.8781136,-87.6297982
8009,FORT HUACHUCA  ,USA,AZ,31.5552157,-110.3499216
8051,CHACABUCO      ,AR,,-34.6420841,-60.4715188
8061,BETHEL         ,USA,AK,60.7922222,-161.7558333
8064,NEWARK         ,USA,NJ,40.735657,-74.1723667
8065,LANGDON        ,USA,ND,48.7600007,-98.3681728
8071,CHAMBLEE       ,USA,GA,33.8920468,-84.29881259999999
8121,FUNTER PASS    ,USA,AK,61.5756429,-149.854247
