,ev_city,ev_country,ev_state,latitude,longitude
9290,E CAMERON BLK 2,,GM,,
9314,PARIS-GONESSE,FR,,,
9317,Palencia,GT,,,
9339,LEXINGTON      ,USA,KY,,
9360,TALKEETNA      ,USA,AK,,
9374,NASSAU         ,BF,,,
9385,GABORONE,BC,,,
9421,SILICA         ,USA,KS,,
9425,NEW ROADS      ,USA,LA,,
9428,KING SALMON    ,USA,AK,,
9434,TAOS           ,USA,NM,,
9464,DES MOINES     ,USA,IA,,
9503,Sulmona,IT,,,
9536,Steinfeld,GE,,,
9545,Huesca,SP,,,
9603,Amman,JO,,,
9609,UNIVERSITY PARK,USA,PA,,
9631,CHADRON        ,USA,NE,,
9657,SYRACUSE       ,USA,NY,,
9666,Bryce,USA,UT,,
9674,MT MCKINLEY VIL,USA,AK,,
9680,GRAND ISLAND   ,USA,NE,,
9689,Murcia,SP,,,
9701,Dijon Longvic,FR,,,
9730,MEMPHIS        ,USA,TN,,
9735,Memphis,USA,TN,,
9743,WILLISTON      ,USA,ND,,
9755,LOIZA          ,,PR,,
9761,SAN DIEGO      ,USA,CA,,
9810,CASPER         ,USA,WY,,
9846,DENVER         ,USA,CO,,
9857,GARNETT        ,USA,KS,,
9871,GAMBELL        ,USA,AK,,
9884,NAGOYA         ,JA,,,
9904,GUATEMALA CITY ,GT,,,
9909,Santa Juana,CI,,,
9921,Quito,EC,,,
9958,Envira,BR,,,
9960,SAN JUAN       ,,PR,,
9976,Azevedo,BR,,,
9995,Milan,IT,,,
10030,HAGERSTOWN     ,USA,IN,,
10058,Mexico City,MX,,,
10086,SYDNY,AS,,,
10097,"Lencois, Bahia",BR,,,
10128,NORTH LAS VEGAS,USA,NV,,
10144,GALVESTON      ,USA,TX,,
10154,MCGRATH        ,USA,AK,,
10159,Buenos Aires,AR,,,
10161,BEAVER         ,USA,WV,,
10183,KODIAK         ,USA,AK,,
10190,ANCORAGE       ,USA,AK,,
10226,KANSAS CITY    ,USA,MO,,
10235,RUBY           ,USA,AK,,
10247,KIEL-HOLTENAU  ,GE,,,
10275,COATESVILLE    ,USA,PA,,
10278,GLENNALLEN     ,USA,AK,,
10279,SEATTLE        ,USA,WA,,
10289,Solola,GT,,,
10293,CASCADE        ,USA,ID,,
10294,SALMON         ,USA,ID,,
10336,BISMARCK       ,USA,ND,,
10343,PLATTSBURGH    ,USA,NY,,
10346,San Juan,USA,PR,,
10368,ATLANTA        ,USA,GA,,
10376,AKRON          ,USA,NY,,
10380,SAN JUAN       ,,PR,,
